Unnamed: 0,Artist and Title,Artist,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre
79,Nicki Minaj - Only,Nicki Minaj,565091392,111416,2014,Pop,"['hip pop', 'pop', 'queens hip hop', 'rap']",hip pop,pop,queens hip hop
80,J. Cole - G.O.M.D,J. Cole,563408272,112145,2014,Hip-Hop/Rap,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",conscious hip hop,hip hop,north carolina hip hop
81,Shakira - Can't Remember to Forget You,Shakira,544548991,275664,2014,Pop,"['colombian pop', 'dance pop', 'latin pop', 'pop']",colombian pop,dance pop,latin pop
82,Timmy Trumpet - Freaks,Timmy Trumpet,540262609,168294,2014,Electronic/Dance,"['australian dance', 'big room', 'dutch house', 'melbourne bounce', 'melbourne bounce international']",australian dance,big room,dutch house
83,Selena Gomez - The Heart Wants What It Wants,Selena Gomez,540260627,114127,2014,Pop,"['pop', 'post-teen pop']",pop,post-teen pop,Unknown
84,AronChupa - I'm an Albatraoz,AronChupa,536985936,141667,2014,Pop,['swedish pop'],swedish pop,Unknown,Unknown
85,Hozier - Someone New,Hozier,531379455,324114,2014,Rock,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",irish singer-songwriter,modern rock,pop
86,Justin Bieber - Confident,Justin Bieber,515077115,367232,2014,Pop,"['canadian pop', 'pop']",canadian pop,pop,Unknown
87,DJ Snake - You Know You Like It,DJ Snake,514767803,140699,2014,Pop,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",dance pop,edm,electronic trap
88,Vance Joy - Mess Is Mine,Vance Joy,514227630,174224,2014,Pop,"['folk-pop', 'modern rock']",folk-pop,modern rock,Unknown
89,Elle King - Ex's & Oh's,Elle King,510483572,127430,2014,Rock,['modern blues rock'],modern blues rock,Unknown,Unknown
90,Beyoncé - Partition,Beyoncé,509320009,123233,2014,Pop,"['pop', 'r&b']",pop,r&b,Unknown
91,Bobby Shmurda - Hot Boy,Bobby Shmurda,498545399,110944,2014,Hip-Hop/Rap,"['nyc rap', 'rap', 'trap']",nyc rap,rap,trap
92,alt-J - Left Hand Free,alt-J,492927992,277302,2014,Rock,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']",indie rock,indietronica,modern alternative rock
93,G-Eazy - I Mean It,G-Eazy,492880845,63132,2014,Pop,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",indie pop rap,oakland hip hop,pop rap
94,Vance Joy - Georgia,Vance Joy,492530392,114784,2014,Pop,"['folk-pop', 'modern rock']",folk-pop,modern rock,Unknown
95,Nicki Minaj - Anaconda,Nicki Minaj,484917630,128024,2014,Pop,"['hip pop', 'pop', 'queens hip hop', 'rap']",hip pop,pop,queens hip hop
96,Skrillex - Bangarang,Skrillex,481194465,104746,2014,Electronic/Dance,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",brostep,complextro,edm
97,Omarion - Post to Be,Omarion,480020396,112130,2014,Pop,"['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",dance pop,hip pop,r&b
98,Young Money - Trophies,Young Money,474306909,103772,2014,Hip-Hop/Rap,"['dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",dirty south rap,pop rap,rap
99,David Guetta - Dangerous,David Guetta,466598572,84629,2014,Electronic/Dance,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",big room,dance pop,edm
100,Route 94 - My Love,Route 94,462188680,271702,2014,Electronic/Dance,"['house', 'uk dance']",house,uk dance,Unknown
